"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","Number of Associated Structures","Designer Names","Non-Federal Dam on Federal Property","Primary Purpose","Purposes","Source Agency","State or Federal Agency ID","Latitude","Longitude","State","County","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","Section, Township, or Range Location","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","Years Modified","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks","Length of Secondary Lock","Lock Width (Ft)","Secondary Lock Width (Ft)","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL","USACE Division","USACE District","Last EAP Exercise Date"
"Shurtliff-Behunin","","","UT00537","","UT00537","ANTHONY COOMBS","Private","Private","0","","No","Irrigation","Irrigation","Utah","UT00537","37.91517205","-111.4223932","Utah","Garfield","NONE - DRAINS TO ESC","0","NAZER DRAW","Congressional District 02, Utah","25,33S~4E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","12","15","15","Less than 25 feet","575","","1981","1980-1989","","170","170","100","","10.9","","","","","","","","","","2021-03-17","2016-04-26","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","South Pacific Division","Sacramento District",""
"Grover Dam","","","UT21406","","UT21406","SCOTT LANDRY","Private","Private","0","","No","Other","Other","Utah","UT21406","40.30377225","-109.8782948","Utah","Uintah","","0","","Congressional District 01, Utah","15,2S~1E US","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","","10","10","Less than 25 feet","8","","1994","1990-1999","","3","","3","","0","","","4","","","","","","","2021-03-17","2015-05-29","2","Significant","Not Rated","","No","","https://damsafety.org/utah","Northwestern Division","Sacramento District",""
"R.N. Industries - Wonsit Disposal Ponds","","","UT53772","","UT53772","R.N. Industries","Private","Private","0","","No","","","Utah","UT53772","40.08575207","-109.5131873","Utah","Uintah","","","","Congressional District 01, Utah","35,8S~21E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","10","","10","Less than 25 feet","","","","Undetermined","","57.2","57.2","57.2","","","","","","","","","","","","2021-03-17","","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","Northwestern Division","Sacramento District",""
"White Mesa Tailings No. 3","","","UT00551","","UT00551","ENERGY FUELS NUCLEAR,INC","Private","Private","0","","No","Other","Other","Utah","UT00551","37.54351003","-109.5056776","Utah","San Juan","NONE-DRAINS TO WESTW","0","WELLS & PIPELINE","Congressional District 03, Utah","33,37S~22E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","39","40","40","25-50 feet","3400","","1982","1980-1989","","1500","1500","1400","","0","","","","","","","","","","2021-03-17","2007-06-28","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","South Pacific Division","Sacramento District",""
"Beaver Dam (Fish Creek Lower)","","","UT00806","","UT00806","Grover Irrigation Company","Private","Private","","","No","","","Utah","UT00806","38.16746362","-111.4322298","Utah","Wayne","","0","","Congressional District 02, Utah","","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","10","12","12","Less than 25 feet","110","","1957","1950-1959","","84.5","","84.5","","0","","","","","","","","","","2021-03-17","2016-10-20","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","South Pacific Division","Los Angeles District",""
"Neffs","","","UT00224","","UT00224","Mark Newman","Private","Private","0","","No","Irrigation","Irrigation","Utah","UT00224","38.44907727","-111.4942086","Utah","Wayne","LYMAN","9","CEDAR CREEK","Congressional District 02, Utah","20,27S~4E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","9","12","12","Less than 25 feet","135","","1900","1900-1909","","80","80","50","","2.7","","","","","","","","","","2021-03-17","2011-02-02","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","South Pacific Division","Sacramento District",""
"Tagert Lake","","","CO01924","","CO01924","TAGERT ESTATE","Private","Private","","","No","Recreation","Irrigation;Recreation","Colorado","380126","39.131676999999996","-106.753896","Colorado","Pitkin","ASPEN","3","ROARING FORK RIVER-TR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","9","9","9","9","Less than 25 feet","850","0","1930","1930-1939","","82","82","50","8","0","61","None","3","0","0","","0","","","2022-12-22","1979-07-26","6","Low","Not Rated","","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Hay","Enl of 547r","","WY01201","","WY01201","WILLIAM H. JOLLEY","Private","Private","0","","No","Irrigation","Irrigation;Fire Protection, Stock, Or Small Fish Pond","Wyoming","2339R","42.0086","-108.34190000000001","Wyoming","Sweetwater","NONE","0","RED CREEK","Congressional District 00, Wyoming","35","Yes","Yes","SEO","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","18","16.5","18","18","Less than 25 feet","950","","1907","1900-1909","","5847","5847","3307","1037","","0","Uncontrolled","18","","","","","","","2023-01-05","2022-05-16","5","Low","Poor","2022-05-16","Not Required","","https://damsafety.org/wyoming","South Pacific Division","Sacramento District",""
"Moab Salt Potash Pond Dam 2n","","","UT00436","","UT00436","MOAB SALT, INC","Private","Private","0","","No","Other","Other","Utah","UT00436","38.46851353","-109.6840058","Utah","San Juan","NONE - DRAINS TO COL","0","COLORADO RIVER--OFFSTREAM","Congressional District 03, Utah","11,27S~20E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","12","12","12","Less than 25 feet","2400","","1970","1970-1979","","165","165","69","","0","","","","","","","","","","2021-03-17","2020-09-30","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","South Pacific Division","Sacramento District",""
"Sunset","","","WY01220","","WY01220","CL BAR PROPERTIES, INC.","Private","Private","0","RICHARD C LEONARD;USDA NRCS","No","Fish and Wildlife Pond","Fish and Wildlife Pond;Fire Protection, Stock, Or Small Fish Pond","Wyoming","6801R","42.9506","-110.01020000000001","Wyoming","Sublette","PINEDALE","22","DUCK CREEK","Congressional District 00, Wyoming","5","Yes","Yes","SEO","Yes","Yes","Yes","","","Natural Resources Conservation Service","","","","","","Earth","Earth","Earth","Soil","20","13","18","20","Less than 25 feet","540","","1966","1960-1969","","119","119","70","12","5","372","Uncontrolled","20","","","","","","Uncontrolled1","2023-01-05","2022-07-19","5","Low","Poor","2022-07-19","Not Required","","https://damsafety.org/wyoming","South Pacific Division","Sacramento District",""
"Papoose Lake","","","UT00239","","UT00239","WHITEROCKS IRRIGATION CO","Private","Private","0","USDA NRCS","No","Irrigation","Irrigation","Utah","UT00239","40.80019012","-110.0157075","Utah","Duchesne","WHITEROCKS","26","WHITEROCKS RIVER","Congressional District 01, Utah","28,5N~1W US","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","Natural Resources Conservation Service","","","","","","Earth","Earth","","","","9","12","12","Less than 25 feet","220","","1976","1970-1979","","100","100","72","","1.1","21","","","","","","","","","2021-05-24","2003-07-14","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","Northwestern Division","Sacramento District",""
"Frank B. Watters","","","CO00258","","CO00258","LAKE FORK RESORT (CHARLIE COLOPY)","Private","Private","0","","","Recreation","Recreation","Colorado","620108","38.091991","-107.291112","Colorado","Hinsdale","DELTA","83","LAKE FORK GUNNISON RIVER","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Soil","22","23","23","23","Less than 25 feet","2190","11035","1966","1960-1969","","287","287","179","24","0","25","None","0","0","0","","0","","Slide (sluice gate);Uncontrolled","2022-12-22","2008-08-18","6","Low","Not Rated","","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Eden West Dike","","","WY01388","S002","WY01388S002","RECLAMATION","Federal","Federal","0","","No","Irrigation","Irrigation","Bureau of Reclamation","","42.214","-109.3961","Wyoming","Sweetwater","FARSON","7","LITTLE SANDY CREEK","Congressional District 00, Wyoming","","Yes","Yes","SEO","Yes","Yes","Yes","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","","Earth","Earth","Bituminous Concrete","Rock","25","1","25","25","25-50 feet","3500","92000","1907","1900-1909","","14421","14421","14421","1166","6","","Uncontrolled","15","0","0","","0","","","2021-05-24","","4","Low","Not Available","","Not Required","","https://www.usbr.gov/ssle/damsafety/","Northwestern Division","Sacramento District",""
"Richens #6","","","UT53489","","UT53489","VERNON RICHENS","Private","Private","0","","No","","","Utah","UT53489","40.27874168","-109.7916486","Utah","Uintah","","","","Congressional District 01, Utah","29,2S~2E US","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","","12","12","Less than 25 feet","730","","","Undetermined","","75","","75","","","","","","","","","","","","2021-03-17","2018-06-12","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","Northwestern Division","Sacramento District",""
"Boyer","Godfather Lake","","CO02179","","CO02179","THREE FORKS RANCH (SEWELL, KELLY)","Private","Private","0","","No","Irrigation","Irrigation","Colorado","540111","40.886672999999995","-107.175839","Colorado","Routt","BAGGS, WY","","WILLOW CREEK","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","28","28","28","28","25-50 feet","300","12755","1951","1950-1959","","191","191","119","15","1","603","Uncontrolled","31.5","0","0","","0","","","2022-12-22","2018-09-20","6","Low","Fair","2020-07-14","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Lost Canyon","","","CO01088","","CO01088","LOUIS GARON","Private","Private","0","","No","Irrigation","Irrigation;Water Supply;Fire Protection, Stock, Or Small Fish Pond","Colorado","710102","37.434749","-108.40567","Colorado","Montezuma","DOLORES","8","LOST CANYON-TR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","25","23","28","28","25-50 feet","225","","1965","1960-1969","","260","260","130","20","0","882","Uncontrolled","35","0","0","","0","","Slide (sluice gate)1","2022-12-22","2010-10-20","6","Low","Fair","2020-06-05","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Wellington City Debris Basin","","","UT53551","","UT53551","WELLINGTON CITY","Local Government","Local Government","0","Johansen & Tuttle Engineering Inc.","No","Flood Risk Reduction","Flood Risk Reduction","Utah","UT53551","39.55160954","-110.7212961","Utah","Carbon","","","","Congressional District 03, Utah","06,15S~11E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","13","17","17","Less than 25 feet","515","","2010","Since 2000","","96","96","68","","0.6","14","","30","","","","","","","2021-03-17","2020-10-01","3","Significant","Not Rated","","Yes","","https://damsafety.org/utah","Northwestern Division","Sacramento District",""
"Duck Slough","Andrews Lake","","CO01059","","CO01059","COLORADO PARKS AND WILDLIFE","State","State","0","","Yes","Fish and Wildlife Pond","Fish and Wildlife Pond;Recreation","Colorado","300101","37.728063999999996","-107.710858","Colorado","San Juan","DURANGO","41","E LIME CREEK","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","24","24","24","24","Less than 25 feet","95","","1956","1950-1959","","206","206","131","15","0","882","None","30","0","0","","0","","","2022-12-22","2019-09-19","6","Low","Satisfactory","2021-10-05","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Ethel Belmear","","","CO02645","","CO02645","KEITH IVINS","Private","Private","0","","No","Fire Protection, Stock, Or Small Fish Pond","Irrigation;Fire Protection, Stock, Or Small Fish Pond","Colorado","710105","37.793493999999995","-108.379414","Colorado","Dolores","SLICK ROCK","28","BEAVER CREEK-TR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","20","20","20","20","Less than 25 feet","644","","1944","1940-1949","","130","130","87","14","0","635","Uncontrolled","8","0","0","","0","","Slide (sluice gate)1","2022-12-22","2018-11-06","6","Low","Unsatisfactory","2021-06-24","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Blanding City No. 3","","","UT00042","","UT00042","BLANDING CITY","Local Government","Local Government","0","","No","Irrigation","Irrigation","Utah","UT00042","37.67184303","-109.4873442","Utah","San Juan","BLANDING","4","JOHNSON CREEK - OFFSTREAM","Congressional District 03, Utah","10,36S~22E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","47","47","47","25-50 feet","990","","1961","1960-1969","","320","320","250","","0.6","","","","","","","","","","2021-03-17","2020-09-02","1","High","Satisfactory","2011-08-29","Yes","","https://damsafety.org/utah","South Pacific Division","Sacramento District",""
"Raw Water Reservoir","","","WY02920","","WY02920","SWEETWATER COUNTY JOINT POWERS WATER BOARD","Public Utility","Public Utility","","NELSON ENGINEERING","No","Water Supply","Water Supply","Wyoming","14179R","41.5264","-109.48310000000001","Wyoming","Sweetwater","GREEN RIVER","0","TELEPHONE CANYON DRAW","Congressional District 00, Wyoming","","Yes","Yes","SEO","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Soil","38","33","42","42","25-50 feet","3600","","2022","Since 2000","","428.5","428.5","350.7","14.8","13.4","37.2","Uncontrolled","8","","","","","","Slide (sluice gate)3","2023-01-05","2022-06-28","5","Significant","Satisfactory","2022-06-28","Not Required","","https://damsafety.org/wyoming","South Pacific Division","Sacramento District",""
"Walrod","Cozzens Walrod","","CO02082","","CO02082","AKERS, KIM AND TED","Private","Private","0","","No","Irrigation","Irrigation;Fire Protection, Stock, Or Small Fish Pond","Colorado","570132","40.485009","-107.200574","Colorado","Routt","HAYDEN","3","HUTCHINSON DRAW","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","22","22","22","22","Less than 25 feet","110","17889","1960","1960-1969","","125","125","40","8","0","260","Uncontrolled","4","0","0","","0","","","2022-12-22","2018-10-26","6","Low","Not Rated","","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Millspaugh","","","CO02996","","CO02996","VILLARD BROTHERS","Private","Private","0","LOREN D. MORRIL","","","","Colorado","440138","40.784344","-107.477405","Colorado","Moffat","","","S. FORK FORTIFICATION CR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","26","26","31","31","25-50 feet","","","1948","1940-1949","","70","","70","7","","","None","","0","0","","0","","","2022-12-22","","0","Low","Fair","2020-08-13","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Fontenelle","Enl of 6629r","","WY01389","","WY01389","RECLAMATION","Federal","Federal","0","RECLAMATION","No","Fish and Wildlife Pond","Fish and Wildlife Pond;Recreation;Hydroelectric;Water Supply","Bureau of Reclamation","","42.028600000000004","-110.0597","Wyoming","Lincoln","JAMESTOWN","59","GREEN RIVER","Congressional District 00, Wyoming","SESE25, T24N, R112W","Yes","Yes","SEO","Yes","Yes","Yes","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","","Earth","Earth","Earth","Soil","139","121","139","139","Greater than 100 feet","5450","5265000","1963","1960-1969","1989S","405160","405160","345360","8058","4175","20000","Uncontrolled","40","0","0","","0","","Valve3","2021-05-24","2019-10-30","1","High","Not Available","","Yes","2020-08-26","https://www.usbr.gov/ssle/damsafety/","Northwestern Division","Sacramento District",""
"Mill Creek No 2","","","CO02622","","CO02622","USDA FS","Federal","Federal","0","","No","Recreation","Fish and Wildlife Pond;Recreation","Forest Service","020407 1031","38.00021605","-107.2132848","Colorado","Hinsdale","","0","MILLCREEK","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","","Earth","Earth","","","18","14","23","23","Less than 25 feet","210","3641","1955","1950-1959","","20","20","9","0","2","280","Uncontrolled","","","","","","","","2021-05-17","2010-09-14","","Significant","Not Rated","","Not Required","","https://www.fs.usda.gov/eng/dams/","South Pacific Division","Sacramento District",""
"Grass Valley","Harvey Gap, Antler","","CO00693","","CO00693","SILT WATER CONSERVANCY DISTRICT","Public Utility","Public Utility","0","S. O. HARPER;UNKNOWN;UNKNOWN","No","Irrigation","Irrigation","Colorado","390108","39.606674","-107.660573","Colorado","Garfield","SILT","4","HARVEY GAP","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock","61","61","61","61","51-100 feet","800","155889","1892","Before 1900","1906F;1906H;1906M;1906S;1946S","6111","6111","5060","320","2","542","Uncontrolled","15","0","0","","0","","Slide (sluice gate)1","2022-12-22","2022-04-06","1","High","Unsatisfactory","2022-04-06","Yes","2020-05-29","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Iron Springs","","","UT00047","","UT00047","ALAN ZWICKY","Private","Private","0","","No","Irrigation","Irrigation","Utah","UT00047","37.9701789","-109.2256683","Utah","San Juan","NONE - DRAINS TO COL","0","IRON SPRINGS CYN.","Congressional District 03, Utah","30,32S~25E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","16","18","18","Less than 25 feet","368","","1921","1920-1929","","1435","1435","1200","","11.5","","","","","","","","","","2021-03-17","2018-06-06","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","South Pacific Division","Sacramento District",""
"Dunham","","","CO02060","","CO02060","KEITH IVINS","Private","Private","0","","No","Irrigation","Irrigation;Fish and Wildlife Pond;Fire Protection, Stock, Or Small Fish Pond","Colorado","690103","37.818339","-108.344182","Colorado","Dolores","SLICK ROCK","30","DISAPPOINTMENT CREEK-TR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","30","30","30","30","25-50 feet","268","","1966","1960-1969","","134","134","79","11","2","1470","Uncontrolled","35","0","0","","0","","Slide (sluice gate)1","2022-12-22","2018-05-16","6","Low","Not Rated","","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Thomas","","","CO02531","","CO02531","KING CAPITAL, INC. (DON KING)","Private","Private","0","","No","Irrigation","Irrigation","Colorado","290114","37.316675","-106.968899","Colorado","Archuleta","PAGOSA SPRINGS","5","SAN JUAN RIVER-OS","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Other","Other","","","17","17","17","17","Less than 25 feet","1700","","1966","1960-1969","","93","93","56","10","0","227","None","11.5","0","0","","0","","","2022-12-22","1988-08-15","0","Low","Unsatisfactory","2021-07-28","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Skull Point Dam","","","WY01862","","WY01862","DOI BLM","Federal","Federal","0","UNKNOWN","No","","","Bureau of Land Management","L1836074","41.68991","-110.6102","Wyoming","Lincoln","Granger, WY","50","Trib. to N. Fork Little Muddy Creek","Congressional District 00, Wyoming","S26, 20N, 117W","Yes","Yes","SEO","Yes","Yes","Yes","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","","Gravity","Gravity","Earth;Unlisted/Unknown","Unlisted/Unknown","","23","27","27","25-50 feet","580","32166","1941","1940-1949","","62.9","62.9","","17.54","6.140000000000001","","","","0","0","","0","","None","2021-04-29","2015-09-24","5","Low","Not Rated","","Not Required","","https://www.blm.gov/","South Pacific Division","Sacramento District",""
"Provo-Orem L. D. S. Camp","","","UT00512","","UT00512","L.D.S CHURCH","Private","Private","0","","No","Recreation","Recreation","Utah","UT00512","39.67851594","-111.2640652","Utah","Sanpete","NONE","0","LITTLE SWEN`S CANYON CREEK","Congressional District 04, Utah","21,13S~6E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","10","12","12","Less than 25 feet","485","","","Undetermined","","14","14","10","","0.5","","","","","","","","","","2021-03-17","2004-09-08","2","Significant","Not Rated","","No","","https://damsafety.org/utah","Northwestern Division","Sacramento District",""
"Trachyte","","","UT00783","","UT00783","CALVIN BASTIAN","Private","Private","0","","No","Irrigation","Irrigation","Utah","UT00783","37.9723341","-110.6171996","Utah","Garfield","NONE","0","TRACHYTE CREEK","Congressional District 02, Utah","05,33S~12E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","25","32","32","25-50 feet","500","","1993","1990-1999","","158","158","96","","0","56","","","","","","","","","2021-03-17","2020-05-20","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","South Pacific Division","Sacramento District",""
"Weber - South Dam","","","CO01082","","CO01082","WEBER RESERVOIR CO (LEWIS, PERRY)","Private","Private","0","USDA NRCS","No","Irrigation","Irrigation;Fire Protection, Stock, Or Small Fish Pond","Colorado","340114","37.398816","-108.23263299999999","Colorado","Montezuma","MANCOS","8","WEST FORK MANCOS RIVER-TR","Congressional District 03, Colorado","S12,T.36N,R.13W, NEW MEXICO","Yes","Yes","DWR","Yes","Yes","Yes","","","Natural Resources Conservation Service","","","","","","Earth","Earth","","","25","25","29","29","25-50 feet","961","","1902","1900-1909","","652","652","442","42","0","1210","Uncontrolled","220","0","0","","0","","Slide (sluice gate)1","2022-12-22","2019-04-26","6","Low","Fair","2018-10-05","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Barker (Lower)","","","UT00373","","UT00373","DIV WILDLIFE RESOURCES","Private","Private","0","","No","Recreation","Recreation","Utah","UT00373","37.92683825","-111.8224093","Utah","Garfield","ESCALANTE","18","TRIBUTARY TO NORTH CREEK","Congressional District 02, Utah","19,33S~1E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","23","27","27","25-50 feet","140","","1928","1920-1929","","100","100","40","","0.5","","","","","","","","","","2021-03-17","2011-06-21","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","South Pacific Division","Sacramento District",""
"Graham","","","UT00122","","UT00122","CLIFFORD F. GRAHAM","Private","Private","0","","No","Irrigation","Irrigation","Utah","UT00122","40.993419163","-110.393431624","Utah","Uinta","ROBERTSON, WYOMING","23","EAST FORK OF SMITH`S FORK","Congressional District 01, Utah","18,3N~14E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","16","20","20","Less than 25 feet","135","","1957","1950-1959","","100","100","100","","0","","","","","","","","","","2021-03-17","2004-06-03","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","Northwestern Division","Sacramento District",""
"Jacobs Ladder","","","CO02906","","CO02906","USDA FS","Federal","Federal","0","","No","Fish and Wildlife Pond","Fish and Wildlife Pond","Forest Service","021308 0016","37.3789","-107.43310000000001","Colorado","Archuleta","PIEDRA","17","TRIBUTARY TO FIRST FORK PIEDRA","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","","Earth","Earth","","","20","16","25","25","25-50 feet","78","10400","1981","1980-1989","","94","94","58","","","100","Uncontrolled","8","","","","","","Uncontrolled","2021-05-17","2008-09-16","10","Low","Not Rated","","Not Required","","https://www.fs.usda.gov/eng/dams/","South Pacific Division","Sacramento District",""
"Lake of The Woods","","","CO82421","","CO82421","USDA FS","Federal","Federal","0","","No","Recreation","Recreation","Forest Service","021502 0064","40.01767007","-107.2551493","Colorado","Garfield","BUFORD","22","N FORK WHITE RIVER","Congressional District 03, Colorado","S27,1N,R88W","No","","","","","","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","","Earth","Earth","Unlisted/Unknown;Unlisted/Unknown","Unlisted/Unknown","10","15","15","15","Less than 25 feet","150","971","","Undetermined","","150","150","90","0","1","0","Uncontrolled","20","","","","","","Uncontrolled","2021-05-17","2017-08-02","10","Low","Not Rated","","Not Required","","https://www.fs.usda.gov/eng/dams/","Northwestern Division","Sacramento District",""
"Crowley Irrigation System","","","NM00331","","NM00331","SHAHAN, DONALD","Private","Private","0","","No","Irrigation","Irrigation","New Mexico","D-331","36.985838","-106.777903","New Mexico","Rio Arriba","","0","SPRING DRAW","Congressional District 03, New Mexico","T32N R1E S13","Yes","Yes","OFFICE OF THE STATE ENGINEER","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","Unlisted/Unknown","22","","","22","Less than 25 feet","1100","0","1950","1950-1959","","180","","180","18","2","60","Uncontrolled","7","0","0","","0","","Slide (sluice gate)0","2021-04-09","2020-06-18","5","High","Poor","2020-06-18","No","","https://damsafety.org/new-mexico","South Pacific Division","Albuquerque District",""
"Ferron Debris Basin No. 4","","","UT00385","","UT00385","FERRON CANAL AND RESERVOIR & COMPANY","Private","Private","0","USDA NRCS","No","Flood Risk Reduction","Flood Risk Reduction","Utah","UT00385","39.1001805","-111.177392","Utah","Emery","FERRON","2","DIVERSION HOLLOW","Congressional District 03, Utah","07,20S~7E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","Natural Resources Conservation Service","","","","","","Earth","Earth","","","","11","29","29","25-50 feet","1290","","1970","1970-1979","","61","61","44","","1","","","","","","","","","","2021-05-24","2018-04-23","3","Significant","Not Rated","","No","","https://damsafety.org/utah","South Pacific Division","Sacramento District",""
"Johnson Livestock Oak Ranch L.C.","","","UT00474","","UT00474","JOHNSON LIVESTOCK COMPANY","Private","Private","0","","No","Irrigation","Irrigation","Utah","UT00474","38.77017731","-111.402401","Utah","Sevier","NONE","0","SPRING & IVIE CREEK-OFFSTREAM","Congressional District 02, Utah","31,23S~5E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","35","40","40","25-50 feet","450","","","Undetermined","","36","","36","","1","","","","","","","","","","2021-03-17","2018-08-21","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","South Pacific Division","Sacramento District",""
"Richens #3","","","UT53487","","UT53487","VERNON RICHENS","Private","Private","0","","No","Irrigation","Irrigation","Utah","UT53487","40.28690265","-109.7949736","Utah","Uintah","","","","Congressional District 01, Utah","29,2S~2E US","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","","23","23","Less than 25 feet","300","","","Undetermined","","111.60000000000001","","111.60000000000001","","","","","","","","","","","","2021-03-17","2018-06-12","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","Northwestern Division","Sacramento District",""
