,Spillway Type,Dam Length (Ft),Federal Agency Involvement Other,Dam Name,Other Structure ID,Federal Agency Involvement Operation,Foundation,EAP Prepared,Core Types,Purposes,Congressional District,Surface Area (Acres),"Section, Township, or Range Location",Drainage Area (Sq Miles),Hydraulic Height (Ft),Federal Agency Involvement Design,Length of Locks,Primary Owner Type,City,geometry,Primary Dam Type,Owner Types,State Permitting Authority,River or Stream Name,Secondary Lock Width (Ft),Federal Agency Involvement Construction,NID Height Category,NID Storage (Acre-Ft),Federal Agency Involvement Funding,Years Modified,Other Names,Dam Height (Ft),State Jurisdictional Dam,County,Lock Width (Ft),EAP Last Revision Date,Length of Secondary Lock,Federal ID,Number of Associated Structures,State Regulated Dam,Distance to Nearest City (Miles),Year Completed Category,Dam Types,State Enforcement Authority,State Inspection Authority,Structural Height (Ft),Latitude,Hazard Potential Classification,Year Completed,Owner Names,NID Height (Ft),Source Agency,Condition Assessment,Inspection Frequency,Volume (Cubic Yards),Designer Names,Condition Assessment Date,Primary Purpose,Website URL,NID ID,Data Last Updated,Max Storage (Acre-Ft),State Regulatory Agency,Max Discharge (Cubic Ft/Second),Former Names,Federal Agency Involvement Inspection,Non-Federal Dam on Federal Property,Longitude,State or Federal Agency ID,Spillway Width (Ft),Federal Agency Involvement Regulatory,Normal Storage (Acre-Ft),Federal Agency Owners,State,Outlet Gate Type,Number of Locks,Last Inspection Date
92,Uncontrolled,2250,,Page Effluent Ponds 2a & 2b,,,Unlisted/Unknown,Not Required,,Other,"Congressional District 01, Arizona",13.1,"S36, T41N, R8E",,19,,0,Local Government,NO DATA,,Earth,Local Government,Yes,COLORADO RIVER VIA HONEY DRAW - TR,,,Less than 25 feet,204.20000000000002,,,,19,Yes,Coconino,0,,,AZ00243,0,Yes,0,1990-1999,Earth,Yes,Yes,,36.91278,Low,1998,CITY OF PAGE,19,Arizona,Not Rated,5,0,,,Other,https://damsafety.org/arizona,AZ00243,2021-04-02,,ARIZONA DEPARTMENT OF WATER RESOURCES,2000,,,No,-111.48444,,0,,204.20000000000002,,Arizona,,0,2012-05-31
93,Uncontrolled,200,,Battlement No 2,,,,Not Required,,Irrigation,"Congressional District 03, Colorado",0,,2,14,,,Federal,PARACHUTE,,Earth,Federal,Yes,BATTLEMENT CREEK,,,25-50 feet,50,,,,19,Yes,Garfield,,,,CO02168,0,Yes,11,1910-1919,Earth,Yes,Yes,27,39.374797,Low,1912,USDA FS,27,Forest Service,Not Rated,10,3901,,,Irrigation,https://www.fs.usda.gov/eng/dams/,CO02168,2021-05-17,50,DWR,261,,Forest Service,No,-107.936708,021508 8102,,,18,Forest Service,Colorado,,,2017-06-29
94,Uncontrolled,435,,Poose Creek,,,,Not Required,,Fish and Wildlife Pond;Recreation,"Congressional District 03, Colorado",36,,3,35,,0,State,MAYBELL,,Earth,State,Yes,POOSE CREEK,,,25-50 feet,544,,,Vaughn Lake,30,Yes,Rio Blanco,0,,,CO00981,0,Yes,40,1960-1969,Earth,Yes,Yes,41,40.132295,Low,1969,COLORADO PARKS AND WILDLIFE,41,Colorado,Not Rated,6,33067,,,Recreation,https://damsafety.org/colorado,CO00981,2022-12-22,544,DWR,2764,,,Yes,-107.258383,440202,40,,278,,Colorado,,0,2019-07-23
95,,350,,Moab City - Tusher Canyon Detention,,,,Yes,,Flood Risk Reduction,"Congressional District 03, Utah",,"06,26S~22E SL",1,26,,,Local Government,MOAB,,Earth,Local Government,Yes,TUSHER CANYON,,,25-50 feet,15,,,,,Yes,Grand,,,,UT00566,0,Yes,0.1,1960-1969,Earth,Yes,Yes,28,38.56875951,High,1969,MOAB CITY,28,Utah,Fair,2,,,,Flood Risk Reduction,https://damsafety.org/utah,UT00566,2021-03-17,15,Utah Division of Water Rights,,,,No,-109.531794,UT00566,,,12,,Utah,,,2020-07-09
96,,113,,Long Willow Bottom,,,,Not Required,,Recreation,"Congressional District 02, Utah",,"25,33S~1W SL",0.5,15,,,State,ESCALANTE,,Earth,State,Yes,TWITCHELL CREEK,,,Less than 25 feet,100,,,,,Yes,Garfield,,,,UT00183,0,Yes,25,1960-1969,Earth,Yes,Yes,17,37.9085044,Low,1961,DIV WILDLIFE RESOURCES,17,Utah,Not Rated,5,,,,Recreation,https://damsafety.org/utah,UT00183,2021-03-17,100,Utah Division of Water Rights,,,,No,-111.84574309999999,UT00183,,,80,,Utah,,,2009-08-10
97,,297,,Warner (Matt),,,,Yes,,Irrigation,"Congressional District 01, Utah",,"02,1S~23E SL",32,31.5,,,State,NONE - DRAINS TO GRE,,Earth,State,Yes,POT CREEK,,,25-50 feet,6729,,,,,Yes,Uintah,,,,UT00314,0,Yes,0,1930-1939,Earth,Yes,Yes,38,40.76519758,Significant,1938,DIVISION OF WILDLIFE RESOURCES,38,Utah,Not Rated,2,,,,Irrigation,https://damsafety.org/utah,UT00314,2021-03-17,6729,Utah Division of Water Rights,127,,,No,-109.2973515,UT00314,,,3947,,Utah,,,2019-09-24
98,Uncontrolled,570,,Trout Lake                                                       ,,,,Yes,,Recreation;Hydroelectric,"Congressional District 03, Colorado",138,"S.8,T.41N,R.9W",13,22,,,Public Utility,Sawpit                                            ,,Earth,Public Utility,Yes,South Fork San Miguel River-tr,,,25-50 feet,3200,,,,43,Yes,San Miguel,,2020-12-30,,CO00184,1,Yes,16,1910-1919,Earth,Yes,Yes,43,37.829,High,1910,Public Service Company of Colorado,43,Federal Energy Regulatory Commission,Not Available,1,,"C.T. Main, Inc.",,Hydroelectric,https://www.ferc.gov/dam-safety-and-inspections,CO00184,2021-06-14,3200,DWR,8060,,Federal Energy Regulatory Commission,No,-107.88820000000001,00400-04-01,,Federal Energy Regulatory Commission,2500,,Colorado,,,2020-09-30
99,,,,Castle Valley Sp Svc Dst -Emery Town Lwr,,,,No,,Irrigation,"Congressional District 03, Utah",,"04,22S~6E SL",0.2,,,,Local Government,EMERY,,Earth,Local Government,Yes,MUDDY CREEK - OFFSTREAM,,,Less than 25 feet,11,,,,,Yes,Emery,,,,UT00219,0,Yes,0.5,1980-1989,Earth,Yes,Yes,10,38.93851432,Significant,1983,CASTLE VALLEY SPECIAL SERVICE DISTRICT,10,Utah,Not Rated,2,,,,Irrigation,https://damsafety.org/utah,UT00219,2021-03-17,,Utah Division of Water Rights,,,,No,-111.2557258,UT00219,,,11,,Utah,,,2004-05-12
100,None,3381,,San Juan South Pond 5,,,Unlisted/Unknown,No,,Other,"Congressional District 03, New Mexico",13.32,T30N R15W S20,,17.5,,0,Public Utility,WATERFLOW,,Earth,Public Utility,Yes,SAN JUAN RIVER - OS,,,25-50 feet,233,,,,33,Yes,San Juan,0,,,NM00628,0,Yes,2,1980-1989,Earth,Yes,Yes,,36.794000000000004,Significant,1982,PUBLIC SERVICE COMPANY OF NEW MEXICO,33,New Mexico,Poor,3,0,,2019-05-08,Other,https://damsafety.org/new-mexico,NM00628,2021-04-09,233,OFFICE OF THE STATE ENGINEER,,,,No,-108.452,D-628,0,,0,,New Mexico,,0,2019-05-08
101,,1006,,Camp Jackson,,,,Yes,,Water Supply,"Congressional District 03, Utah",,"23,34S~22E SL",0.2,22,,,Local Government,BLANDING,,Earth,Local Government,Yes,TRIB TO JOHNSON CREEK,,,25-50 feet,57,,,,,Yes,San Juan,,,,UT00363,0,Yes,17,1930-1939,Earth,Yes,Yes,25,37.81017675,Significant,1939,BLANDING CITY,25,Utah,Not Rated,2,,,,Water Supply,https://damsafety.org/utah,UT00363,2021-03-17,57,Utah Division of Water Rights,,,,No,-109.4806774,UT00363,,,49,,Utah,,,2020-08-06
102,Uncontrolled,1600,,Full Moon Aka Crystal,,,,Yes,,,"Congressional District 03, Colorado",0,"S29,43N,R7W",,10,,,Federal,,,Earth,Federal,Yes,RED MOUNTAIN CREEK,,,Less than 25 feet,80,,,,14,Yes,Ouray,,,,CO00306,0,Yes,0,Undetermined,Earth,Yes,Yes,19,37.95983492,High,,USDA FS,19,Forest Service,Not Rated,1,18661,,,,https://www.fs.usda.gov/eng/dams/,CO00306,2021-05-17,80,DWR,380,,Bureau of Reclamation,No,-107.6630646,020406 0145,,Forest Service,31,Forest Service,Colorado,,,2019-08-21
103,,,,Castle Valley Sp Svc Dst -Emery Town Upr,,,,No,,Irrigation,"Congressional District 03, Utah",,"04,22S~6E SL",0.2,13,,,Local Government,EMERY,,Earth,Local Government,Yes,MUDDY CREEK - OFFSTREAM,,,Less than 25 feet,9,,,,,Yes,Emery,,,,UT00217,0,Yes,0.5,1980-1989,Earth,Yes,Yes,14,38.94018095,Significant,1983,CASTLE VALLEY SPECIAL SERVICE DISTRICT,14,Utah,Not Rated,2,,,,Irrigation,https://damsafety.org/utah,UT00217,2021-03-17,,Utah Division of Water Rights,,,,No,-111.2557258,UT00217,,,9,,Utah,,,2004-05-12
104,,3600,,Pariette Central Dike,,,,Not Required,,Other,"Congressional District 01, Utah",,"09,9S~19E SL",0,,,,Federal,NONE - DRAINS TO GRE,,Earth,Federal,Yes,PARIETTE DRAW,,,Less than 25 feet,200,,,,,Yes,Uintah,,,,UT00513,0,Yes,0,1970-1979,Earth,Yes,Yes,10,40.06185671,Low,1977,BUREAU OF LAND MANAGEMENT,10,Utah,Not Rated,5,,,,Other,https://damsafety.org/utah,UT00513,2021-03-17,,Utah Division of Water Rights,,,,No,-109.8223638,UT00513,,,200,,Utah,,,2019-08-13
105,None,3624,,San Juan South Pond 4,,,Unlisted/Unknown,No,,Other,"Congressional District 03, New Mexico",14.77,T30N R15W S20,,17.5,,0,Public Utility,WATERFLOW,,Earth,Public Utility,Yes,SAN JUAN RIVER - OS,,,25-50 feet,258,,,,30,Yes,San Juan,0,,,NM00627,0,Yes,2,1980-1989,Earth,Yes,Yes,,36.794000000000004,Significant,1982,PUBLIC SERVICE COMPANY OF NEW MEXICO,30,New Mexico,Poor,3,0,,2019-05-08,Other,https://damsafety.org/new-mexico,NM00627,2021-04-09,258,OFFICE OF THE STATE ENGINEER,,,,No,-108.4496,D-627,0,,0,,New Mexico,,0,2019-05-08
106,Uncontrolled,1005,,Monarch Lake,,Forest Service,Unlisted/Unknown,No,Unlisted/Unknown;Unlisted/Unknown;Unlisted/Unknown;Unlisted/Unknown,Fish and Wildlife Pond;Recreation,"Congressional District 02, Colorado",0,"S25,2N,R75W",47,13,Forest Service,,Federal,HOT SULPHUR SPGS,,Earth,Federal,Yes,ARAPAHO CREEK,,Forest Service,25-50 feet,2000,Forest Service,,,18,Yes,Grand,,,,CO00714,0,Yes,33,1920-1929,Earth,Yes,Yes,25,40.1092,High,1929,USDA FS,25,Forest Service,Not Rated,1,20431,,,Recreation,https://www.fs.usda.gov/eng/dams/,CO00714,2021-05-17,2000,DWR,3300,,Forest Service,No,-105.7478,021008 0009,,,950,Forest Service,Colorado,Uncontrolled,,2020-09-02
107,,220,,Moab City - White Canyon Retention,,,,Yes,,Flood Risk Reduction,"Congressional District 03, Utah",,"06,26S~22E SL",1,37,,,Local Government,MOAB,,Earth,Local Government,Yes,WHITE CANYON,,,25-50 feet,8,,,,,Yes,Grand,,,,UT00553,0,Yes,0.1,1970-1979,Earth,Yes,Yes,40,38.57541956,High,1976,MOAB CITY,40,Utah,Fair,2,,,,Flood Risk Reduction,https://damsafety.org/utah,UT00553,2021-03-17,8,Utah Division of Water Rights,,,,No,-109.5382455,UT00553,,,7,,Utah,,,2020-07-09
108,Uncontrolled,1900,,Beaver Lake,,,Rock;Soil,Not Required,Earth,Fish and Wildlife Pond,"Congressional District 03, Colorado",27,"S25,T.11S,R.88W, 6TH PM",0,6,Natural Resources Conservation Service,0,State,MARBLE,,Earth,State,Yes,CRYSTAL RIVER-OS,,,Less than 25 feet,115,,1986,Beaver Lake At Marble,8,Yes,Gunnison,0,,,CO00675,0,Yes,0,1960-1969,Earth,Yes,Yes,8,39.070004999999995,Low,1962,COLORADO PARKS AND WILDLIFE,8,Colorado,Not Rated,6,0,CDOW;USDA NRCS,,Fish and Wildlife Pond,https://damsafety.org/colorado,CO00675,2022-12-22,115,DWR,150,,,No,-107.182237,380103,24,,72,,Colorado,,0,2019-08-28
109,Uncontrolled,1068,,Palisade Cabin,,,Soil,Yes,Earth,Water Supply,"Congressional District 03, Colorado",27,,0,86,,0,Local Government,PALISADE,,Earth,Local Government,Yes,COTTONWOOD CREEK-OS,,,Greater than 100 feet,1120,,1983F;1983H;1983M;1983O;1983S,Cabin Reservoir,88,Yes,Mesa,0,2020-11-23,,CO01045,0,Yes,8,1950-1959,Earth,Yes,Yes,113,39.085004999999995,High,1956,"TOWN OF PALISADE PUBLIC WORKS (HAWKINSON, JANET)",113,Colorado,Fair,1,509738,CLIFFORD H. JEX;WOODWARD CLYDE,2022-07-25,Water Supply,https://damsafety.org/colorado,CO01045,2022-12-22,1120,DWR,102,,,No,-108.273897,720223,3,,1018,,Colorado,Slide (sluice gate)2,0,2022-07-25
110,Uncontrolled,620,,E. G. Merritt,,,Unlisted/Unknown,Not Required,Earth,"Irrigation;Fire Protection, Stock, Or Small Fish Pond","Congressional District 03, Colorado",7,,0,18,,0,Private,"BLUFF, UT",,Earth,Private,Yes,ALKALI CANYON-TR,,,Less than 25 feet,68,,,,17,Yes,Montezuma,0,,,CO02197,,Yes,17,1970-1979,Earth,Yes,Yes,21,37.450965,Low,1978,DR. E. G. MERRITT (FLOYD FRANKLIN),21,Colorado,Fair,6,,PERCY KRANTZ,2022-09-29,Irrigation,https://damsafety.org/colorado,CO02197,2022-12-22,68,DWR,572,,,No,-108.684656,320202,25.830000000000002,,41,,Colorado,Slide (sluice gate)1,0,2016-02-19
111,,797,,Moccasin Lake,,,,Not Required,,Irrigation,"Congressional District 01, Utah",,"33,5N~1W US",1.3,12,,,Private,WHITEROCKS,,Earth,Private,Yes,WHITEROCKS RIVER,,,Less than 25 feet,113,,,,,Yes,Duchesne,,,,UT00213,0,Yes,24,1920-1929,Earth,Yes,Yes,15,40.79352342,Low,1923,WHITEROCKS IRRIGATION CO,15,Utah,Not Rated,5,,,,Irrigation,https://damsafety.org/utah,UT00213,2021-03-17,113,Utah Division of Water Rights,,,,No,-110.0107075,UT00213,,,90,,Utah,,,2003-07-14
112,Uncontrolled,147,,B & B,,,,Not Required,,Irrigation,"Congressional District 03, Colorado",4,,7,21,,0,Private,CRAIG,,Earth,Private,Yes,YAMPA RIVER-TR,,,25-50 feet,50,,,,21,Yes,Moffat,0,,,CO02576,0,Yes,1,1960-1969,Earth,Yes,Yes,28,40.490004,Low,1969,FRANK & ROSE COUNTS (FRANK COUNTS),28,Colorado,Not Rated,6,,,,Irrigation,https://damsafety.org/colorado,CO02576,2022-12-22,50,DWR,1078,,,No,-107.544185,440104,31.5,,25,,Colorado,,0,2017-10-05
113,None,275,,Upper Stillwater,,,,Not Required,,Fish and Wildlife Pond;Recreation,"Congressional District 03, Colorado",53,,22,20,,0,State,YAMPA,,Earth,State,Yes,BEAR RIVER,,,25-50 feet,1096,,,"Bear L.;Game, Fish, & Parks R;Yampa L.",28,Yes,Garfield,0,,,CO01031,0,Yes,12,1960-1969,Earth,Yes,Yes,40,40.044200000000004,Low,1965,COLORADO PARKS AND WILDLIFE,40,Colorado,Satisfactory,6,8465,,2007-05-01,Recreation,https://damsafety.org/colorado,CO01031,2022-12-22,1096,DWR,2150,,,Yes,-107.072504,580201,30,,620,,Colorado,,0,2019-08-22
114,None,650,,Sedimentation Pond Hg-3,,,,Not Required,,Other,"Congressional District 03, Colorado",75,,0,30,,0,Private,HAMILTON,,Earth,Private,Yes,HAYDEN GULCH-OS,,,25-50 feet,887,,,,22,Yes,Routt,0,,,CO02250,,Yes,16,1970-1979,Earth,Yes,Yes,36,40.358336,Low,1979,H. G. COAL CO.,36,Colorado,Not Rated,6,32954,,,Other,https://damsafety.org/colorado,CO02250,2022-12-22,887,MLR,59,,,No,-107.295574,440303,0.5,,445,,Colorado,,0,1991-01-01
115,None,400,,Sedimentation Pond Hg-5,,,,Not Required,,Flood Risk Reduction;Other,"Congressional District 03, Colorado",1,,0,46,,0,Private,HAMILTON,,Earth,Private,Yes,DOWDEN GULCH-TR,,,25-50 feet,18,,,,32,Yes,Routt,0,,,CO02224,,Yes,15,1970-1979,Earth,Yes,Yes,46,40.346675999999995,Low,1979,H. G. COAL CO.,46,Colorado,Not Rated,6,42562,,,Other,https://damsafety.org/colorado,CO02224,2022-12-22,18,MLR,942,,,No,-107.303902,440305,22,,12,,Colorado,,0,1991-01-01
116,,1600,,Johnson Storage,,,,Not Required,,Irrigation,"Congressional District 02, Utah",,"28,37S~2W SL",0,10,Natural Resources Conservation Service,,Private,NONE - DRAINS TO PAR,,Earth,Private,Yes,HENRIEVILLE CREEK,,,Less than 25 feet,76,,,,,Yes,Garfield,,,,UT00154,0,Yes,0,1970-1979,Earth,Yes,Yes,16,37.56016187,Low,1973,AFFILIATED MANAGEMENT COMPANY,16,Utah,Not Rated,5,,USDA NRCS,,Irrigation,https://damsafety.org/utah,UT00154,2021-05-24,76,Utah Division of Water Rights,,,,No,-112.0174099,UT00154,,,52,,Utah,,,2016-04-26
117,,5000,,Pacificorp - Hunter Ash,,,,Not Required,,,"Congressional District 03, Utah",,"15,19S~8E SL",0,7,,,Private,NONE - DRAINS TO SAN,,Earth,Private,Yes,OFFSTREAM,,,Less than 25 feet,80,,,,,Yes,Emery,,,,UT00362,0,Yes,0,1970-1979,Earth,Yes,Yes,10,39.16518181,Low,1978,PACIFICORP HUNTER PLANT,10,Utah,Not Rated,5,,,,,https://damsafety.org/utah,UT00362,2021-03-17,80,Utah Division of Water Rights,,,,No,-111.0057238,UT00362,,,80,,Utah,,,2018-05-29
118,Uncontrolled,300,,Bull Run Creek,,,,Not Required,,"Irrigation;Fire Protection, Stock, Or Small Fish Pond","Congressional District 02, Colorado",11,,4,27,,0,Private,KREMMLING,,Earth,Private,Yes,BULL RUN CREEK,,,25-50 feet,181,,,,26,Yes,Grand,0,,,CO02594,0,Yes,15,1960-1969,Earth,Yes,Yes,26,39.968613,Low,1968,"SPR-LLC (MITCHELL, DUDLEY)",27,Colorado,Fair,6,0,,2013-09-22,Irrigation,https://damsafety.org/colorado,CO02594,2022-12-22,181,DWR,638,,,No,-106.206686,510202,10.5,,97,,Colorado,,0,2015-05-26
119,Uncontrolled,225,,Bar-Bee Lake,,,,Not Required,,"Irrigation;Recreation;Fire Protection, Stock, Or Small Fish Pond","Congressional District 03, Colorado",6,,3,27,,0,Private,STEAMBOAT SPRINGS,,Earth,Private,Yes,BEAVER CREEK,,,25-50 feet,74,,,Beaver Creek Stock,22,Yes,Routt,0,,,CO01859,0,Yes,19,1970-1979,Earth,Yes,Yes,27,40.200002,Low,1974,"CLAY DEVELOPMENT & CONSTRUCTION, INC. (ROBERT CLAY",27,Colorado,Unsatisfactory,6,11163,,2013-10-11,"Fire Protection, Stock, Or Small Fish Pond",https://damsafety.org/colorado,CO01859,2022-12-22,74,DWR,2050,,,No,-106.773899,580212,102.5,,44,,Colorado,,0,2015-06-04
120,Uncontrolled,675,,Taylor,,Forest Service,Rock;Soil,Not Required,Unlisted/Unknown;Unlisted/Unknown;Unlisted/Unknown;Unlisted/Unknown,Fish and Wildlife Pond,"Congressional District 03, Colorado",0,"S24,37N,R11W",0,10,Forest Service,,Federal,MAYDAY,,Earth,Federal,Yes,TRIB LAPLATA RIVER,,Forest Service,Less than 25 feet,100,Forest Service,,Aka - Kennebec,15,Yes,La Plata,,,,CO01074,0,Yes,8,1970-1979,Earth,Yes,Yes,19,37.45528224,Low,1971,USDA FS,19,Forest Service,Not Rated,10,8711,,,Fish and Wildlife Pond,https://www.fs.usda.gov/eng/dams/,CO01074,2021-05-17,100,DWR,1000,,Forest Service,No,-108.0302416,021308 0500,15,Forest Service,47,Forest Service,Colorado,Uncontrolled,,2008-09-07
121,None,150,,Kelly Pond,,,,Not Required,,Irrigation;Recreation,"Congressional District 03, Colorado",7,,3,7,,0,Private,BASALT,,Earth,Private,Yes,ROARING FORK RIVER-TR,,,Less than 25 feet,261,,,,7,Yes,Eagle,0,,,CO01920,,Yes,5,1900-1909,Earth,Yes,Yes,7,39.403332999999996,Low,1905,"DAN ARBANEY, RON ARBANEY, & SUE ANN BATTS (DAN ARB",7,Colorado,Not Rated,6,0,,,Irrigation,https://damsafety.org/colorado,CO01920,2022-12-22,261,DWR,210,,,No,-107.038905,380116,10,,20,,Colorado,,0,1987-10-15
122,Uncontrolled,800,,Dad Dahl Detention # 2 Dam,,Bureau of Land Management,Unlisted/Unknown,Not Required,Earth;Unlisted/Unknown,Debris Control,"Congressional District 00, Wyoming",24.1,13,,26,Bureau of Land Management,0,Federal,,,Gravity,Federal,Yes,South Barrel Springs Draw,,Bureau of Land Management,25-50 feet,128.6,Bureau of Land Management,,,,Yes,Sweetwater,0,,,WY01477,0,Yes,0,1960-1969,Gravity,Yes,Yes,30,41.27477,Low,1963,DOI BLM,30,Bureau of Land Management,Poor,5,38280,UNKNOWN,,Debris Control,https://www.blm.gov/,WY01477,2021-04-29,128.6,SEO,,,Bureau of Land Management,No,-107.92745,L63563,21,Bureau of Land Management,8.57,Bureau of Land Management,Wyoming,None,0,2016-07-14
123,,3000,,"Demille, Don",,,,Not Required,,Flood Risk Reduction,"Congressional District 01, Utah",,"09,9S~22E SL",,,,,Private,,,Earth,Private,Yes,,,,Less than 25 feet,65,,,,,Yes,Uintah,,,,UT53505,0,Yes,,Undetermined,Earth,Yes,Yes,8,40.0596458,Low,,DON DEMILLE,8,Utah,Not Rated,5,,,,Flood Risk Reduction,https://damsafety.org/utah,UT53505,2021-03-17,,Utah Division of Water Rights,,,,No,-109.454372,UT53505,,,65,,Utah,,,
124,Uncontrolled,350,,Lake Brennand,,,Rock;Soil,Not Required,Concrete,Fish and Wildlife Pond;Recreation;Water Supply,"Congressional District 03, Colorado",65,,3,23,,0,State,SOMERSET,,Earth,State,Yes,ANTHRACITE CREEK-TR,,,Less than 25 feet,896,,,Lake Irwin,22,Yes,Gunnison,0,,,CO00425,0,Yes,17,1960-1969,Earth,Yes,Yes,24,38.878705,Low,1963,COLORADO PARKS AND WILDLIFE,24,Colorado,Unsatisfactory,6,15272,,2021-10-12,Water Supply,https://damsafety.org/colorado,CO00425,2022-12-22,896,DWR,1160,,,Yes,-107.105699,400124,30,,506,,Colorado,Uncontrolled,0,2010-09-09
125,Uncontrolled,500,,Woods,,,,Not Required,,Irrigation,"Congressional District 02, Colorado",15,,0,12,,0,Private,KREMMLING,,Earth,Private,Yes,DUNNING CREEK-TR,,,Less than 25 feet,76,,,,9,Yes,Grand,0,,,CO02119,,Yes,13,1920-1929,Earth,Yes,Yes,9,40.233339,Low,1921,"PEAK RANCH (HAMMER, DAVE)",12,Colorado,Unsatisfactory,6,0,,2013-11-05,Irrigation,https://damsafety.org/colorado,CO02119,2022-12-22,76,DWR,55,,,No,-106.5039,500122,8,,60,,Colorado,,0,1987-08-13
126,Uncontrolled,900,,Hickey,,,Soil,Not Required,Earth,"Irrigation;Fire Protection, Stock, Or Small Fish Pond","Congressional District 00, Wyoming",7,6,0,22,,,Private,,,Earth,Private,Yes,ANT HOLLOW DRAW,,,25-50 feet,115,,,,27,Yes,Uinta,,,,WY01692,0,Yes,0,1980-1989,Earth,Yes,Yes,27,41.135000000000005,Low,1980,HOWARD WOODY,27,Wyoming,Poor,5,21000,DAVID P. MILLER,2018-10-16,Irrigation,https://damsafety.org/wyoming,WY01692,2022-03-17,,SEO,0,,,No,-110.420556,8090R,10,,115,,Wyoming,Valve1,,2018-10-16
127,,920,,Emery City D.B. Middle,,,,No,,Flood Risk Reduction,"Congressional District 03, Utah",,"04,22S~6E SL",,14,,,Private,,,Earth,Private,Yes,,,,Less than 25 feet,16,,,,,Yes,Emery,,,,UT53269,0,Yes,,Undetermined,Earth,Yes,Yes,17,38.93394954,Significant,,EMERY TOWN,17,Utah,Not Rated,5,,,,Flood Risk Reduction,https://damsafety.org/utah,UT53269,2021-03-17,,Utah Division of Water Rights,15,,,No,-111.2617882,UT53269,30,,16,,Utah,,,
128,,300,,Adams Ranch Dam,,,,Not Required,,Irrigation,"Congressional District 03, Utah",,"32,33S~24E SL",,37,,,Private,,,Earth,Private,Yes,,,,25-50 feet,30,,,,,Yes,San Juan,,,,UT53367,0,Yes,,Undetermined,Earth,Yes,Yes,40,37.86007684,Low,,LISLE G. ADAMS,40,Utah,Not Rated,5,,,,Irrigation,https://damsafety.org/utah,UT53367,2021-03-17,,Utah Division of Water Rights,0.25,,,No,-109.3096995,UT53367,10,,30,,Utah,,,2017-05-03
129,Uncontrolled,374,,Bunkwater Ridge Retention Dam,,Bureau of Land Management,Unlisted/Unknown,Not Required,Earth;Unlisted/Unknown,"Fire Protection, Stock, Or Small Fish Pond","Congressional District 03, Colorado",65,,1.4000000000000001,26,Bureau of Land Management,0,Federal,CAMEO,,Gravity,Federal,Yes,TRIBUTARY TO COTTENWOOD CREEK,,Bureau of Land Management,25-50 feet,65,Bureau of Land Management,,,,Yes,Mesa,0,,,CO02721,0,Yes,7,1960-1969,Gravity,Yes,Yes,30,39.23281,Low,1960,DOI BLM,30,Bureau of Land Management,Fair,5,20778,UNKNOWN,,"Fire Protection, Stock, Or Small Fish Pond",https://www.blm.gov/,CO02721,2021-04-29,65,DWR,0,,Bureau of Land Management,No,-108.31215,L63667,6,Bureau of Land Management,65,Bureau of Land Management,Colorado,,0,2018-09-11
130,Uncontrolled,354,,Cove Lake,,,,Not Required,,Irrigation,"Congressional District 03, Colorado",5,,0,28,,0,Private,CRAIG,,Earth,Private,Yes,MORAPOS CREEK-TR,,,25-50 feet,90,,,,28,Yes,Rio Blanco,0,,,CO00787,0,Yes,45,1910-1919,Earth,Yes,Yes,28,40.201679,Low,1918,"MACK, BILL",28,Colorado,Not Rated,6,30186,,,Irrigation,https://damsafety.org/colorado,CO00787,2022-12-22,90,DWR,245,,,No,-107.578903,440115,18,,75,,Colorado,,0,2015-07-16
131,Uncontrolled,445,,Mchatton,,,,Not Required,,"Irrigation;Fire Protection, Stock, Or Small Fish Pond","Congressional District 03, Colorado",7,,0,21,,0,Private,MEEKER,,Earth,Private,Yes,WHITE RIVER-TR,,,Less than 25 feet,85,,,Mchatten,21,Yes,Rio Blanco,0,,,CO01935,0,Yes,3,Before 1900,Earth,Yes,Yes,21,40.070834,Low,1896,"SHERIDAN RANCHES, LLC (PAUL M. SHERIDAN, MANAGER)",21,Colorado,Not Rated,6,15427,,,"Fire Protection, Stock, Or Small Fish Pond",https://damsafety.org/colorado,CO01935,2022-12-22,85,DWR,123,,,No,-107.819726,430115,9,,64,,Colorado,,0,2017-05-25
132,Uncontrolled,355,,Sullivan,,,,Not Required,,Irrigation,"Congressional District 03, Colorado",4,,1,35,,0,Private,CRAIG,,Earth,Private,Yes,CEDAR CREEK,,,25-50 feet,64,,,,30,Yes,Moffat,0,,,CO02135,0,Yes,17,1950-1959,Earth,Yes,Yes,39,40.274173,Low,1951,SULLIVAN RANCHES (MELTON 'MILT' SULLIVAN),39,Colorado,Fair,6,25900,,2007-03-27,Irrigation,https://damsafety.org/colorado,CO02135,2022-12-22,64,DWR,321,,,No,-107.457796,440209,22,,51,,Colorado,,0,2021-10-06
