"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","Number of Associated Structures","Designer Names","Non-Federal Dam on Federal Property","Primary Purpose","Purposes","Source Agency","State or Federal Agency ID","Latitude","Longitude","State","County","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","Section, Township, or Range Location","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federally Regulated Dam","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Built Under the Authority of the Secretary of Agriculture","NRCS Watershed Dam Authorization","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","Years Modified","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks","Length of Secondary Lock","Lock Width (Ft)","Secondary Lock Width (Ft)","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL","Operational Status","Operational Status Date","American Indian/Alaska Native/Native Hawaiian"
"Glen Livet","","","AZ00186","","AZ00186","ARIZONA GAME & FISH DEPARTMENT","State","State","0","","Yes","Irrigation","Irrigation","Arizona","","34.02861","-109.21861","Arizona","Apache","SPRINGERVILLE","14","RUDD CREEK - TR","Congressional District 02, Arizona","S6, T7N, R30E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Rock;Soil","12","12","","12","Less than 25 feet","380","0","1929","1920-1929","","110","","110","21","3.25","120","Uncontrolled","40","0","0","","0","","","2021-04-02","2013-06-11","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Alton Reservoir","","","UT53827","","UT53827","ALTON FARMERS ASSOCIATION","Private","Private","0","","No","Irrigation","Irrigation","Utah","UT53827","37.44908187","-112.4796671","Utah","Kane","","","","Congressional District 02, Utah","01,39S~6W SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","","","19.400000000000002","21","21","Less than 25 feet","850","","","Undetermined","","41.800000000000004","41.800000000000004","36.800000000000004","","","4.2","","40","","","","","","","2021-03-17","2020-10-08","1","High","Poor","","No","","https://damsafety.org/utah","","",""
"Seligman","","","AZ00266","","AZ00266","ARIZONA STATE LAND DEPARTMENT","State","State","0","","No","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","Arizona","","35.32278","-112.88833","Arizona","Yavapai","SELIGMAN WWTP","0.1","BIG CHINO WASH - TR","Congressional District 02, Arizona","S1,T22N, R6W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","15.1","18.1","","18.1","Less than 25 feet","1219","0","1954","1950-1959","","500","500","0","40","","","Uncontrolled","90","0","0","","0","","","2021-04-02","2018-06-20","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Cold Springs Dam","","","NV10333","","NV10333","NEVADA DEPARTMENT OF WILDLIFE","State","State","0","","No","Fish and Wildlife Pond","Fish and Wildlife Pond;Recreation","Nevada","J-170","38.3417","-115.1534","Nevada","Nye","HIKO","71","WHITE RIVER","Congressional District 04, Nevada","207 N06 E61 31AA","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","16","11","14","16","Less than 25 feet","1620","55000","1980","1980-1989","1995H","1210","1210","1000","305","860","13700","Uncontrolled","400","","","","","","Other Controlled1","2023-05-25","2021-04-27","5","Low","Fair","2021-04-27","Not Required","","https://damsafety.org/nevada","","",""
"Mission Hills Detention Basin Dam","","","NV10426","","NV10426","CITY OF HENDERSON","Local Government","Local Government","0","","No","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-402","35.987249999999996","-114.95269","Nevada","Clark","HENDERSON","0","LAS VEGAS WASH-TR","Congressional District 01, Nevada","212 S22 E63 33C","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Concrete","","26","21","26","26","25-50 feet","2677","0","","Undetermined","","480","480","0","29","9.6","20360","Uncontrolled","0","","","","","","Uncontrolled1","2023-05-25","2023-05-01","1","High","Fair","2023-05-01","Yes","2019-04-12","https://damsafety.org/nevada","","",""
"Haumont Tank","","","AZ00260","","AZ00260","JMP RANCHES INC.","Private","Private","0","","No","Irrigation","Irrigation;Fire Protection, Stock, Or Small Fish Pond","Arizona","","34.53306","-109.69278","Arizona","Apache","NO DATA","0","OSO DRAW - TR","Congressional District 02, Arizona","S15,T13N,R25E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","27.5","22.5","","27.5","25-50 feet","1600","0","","Undetermined","","224.8","","224.8","89.9","","","Uncontrolled","40","0","0","","0","","","2021-04-02","2009-11-06","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Green Valley Park","","","AZ00223","","AZ00223","TOWN OF PAYSON","Local Government","Local Government","0","","No","Other","Other;Recreation","Arizona","","34.23083","-111.34611","Arizona","Gila","PAYSON","0","AMERICAN GULCH","Congressional District 02, Arizona","S8, T10N, R10E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","Soil","9","9","13","13","Less than 25 feet","1005","87000","1995","1990-1999","","180","180","138","10","3.1","9000","Uncontrolled","450","0","0","","0","","","2021-04-02","2020-04-01","1","High","Satisfactory","2018-03-23","Yes","","https://damsafety.org/arizona","","",""
"Hesperus Wash (No. 36)","","","AZ00074","","AZ00074","TOWN OF FOUNTAIN HILLS","Local Government","Local Government","0","","No","Flood Risk Reduction","Flood Risk Reduction","Arizona","","33.636669999999995","-111.74667","Arizona","Maricopa","FOUNTAIN HILLS","0","VERDE RIVER - TR","Congressional District 01, Arizona","S4, T3N, R6E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","36","36.5","49","49","25-50 feet","1060","0","1973","1970-1979","","482","482","0","28","2.8000000000000003","11800","Uncontrolled","250","0","0","","0","","","2021-04-02","2020-12-08","1","High","Satisfactory","2018-01-04","Yes","","https://damsafety.org/arizona","","",""
"Railroad Tank Dam","","","AZ83000","","AZ83000","USDA FS","Federal","Federal","0","ATCHISON,TOPEKA AND SANTA FE RAILWAY COMPANY","No","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond;Fish and Wildlife Pond;Flood Risk Reduction","Forest Service","030701 0714","35.24900028","-111.8878003","Arizona","Coconino","PVT RESIDENCES","0.1","BRANNIGAN PARK","Congressional District 02, Arizona","S32,22N,R5E","No","","","","","","Forest Service","","","","Forest Service","Yes","Forest Service","Forest Service","","No","N/A","Earth","Earth","Earth","Rock;Soil","37","23","37","37","25-50 feet","1000","132500","1900","1900-1909","","250","250","165","44","40","550","Uncontrolled","10","","","","","","","2021-05-17","2020-09-10","1","High","Not Rated","","No","","https://www.fs.usda.gov/eng/dams/","","",""
"Sunnyside Dam","Lower Adams-Mcgill Reservoir","","NV00122","","NV00122","NEVADA DEPARTMENT OF WILDLIFE","State","State","0","NEVADA FISH AND GAME COMMISSION","No","Fish and Wildlife Pond","Fish and Wildlife Pond;Irrigation;Recreation","Nevada","J-053","38.359700000000004","-115.12","Nevada","Nye","HIKO","70","WHITE RIVER","Congressional District 04, Nevada","207 N06 E61 21A","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","10","7","11","11","Less than 25 feet","2400","28711","1915","1910-1919","1961S","4040","4040","3300","882.1","840","6000","Uncontrolled","155","","","","","","Other Controlled7","2023-05-25","2021-04-27","5","Low","Poor","2021-04-27","Not Required","","https://damsafety.org/nevada","","",""
"Lordsburg Wwtp Pond 3 Dam","","","NM00610","","NM00610","CITY OF LORDSBURG","Local Government","Local Government","0","ENGINEERS, INC.","No","Other","Other","New Mexico","D-610","32.35967","-108.69608","New Mexico","Hidalgo","LORDSBURG","0.5","LORDSBURG DRAW -OS","Congressional District 02, New Mexico","SE 1/4 S28 T22S R18W","Yes","Yes","OFFICE OF THE STATE ENGINEER","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","Soil","14","11","19","19","Less than 25 feet","3400","24000","1998","1990-1999","","241","241","160","27.7","0.05","85","Uncontrolled","80","0","0","","0","","Slide (sluice gate)0","2021-04-09","2016-11-09","3","Significant","Fair","2016-11-09","No","","https://damsafety.org/new-mexico","","",""
"River Mountains Impoundment Dam","","","NV10516","","NV10516","SOUTHERN NEVADA WATER AUTHORITY","Local Government","Local Government","0","CH2M HILL;MONTGOMERY WATSON","No","Water Supply","Water Supply","Nevada","J-491","36.02456","-114.92865","Nevada","Clark","LAS VEGAS","0","LAS VEGAS WASH-TR","Congressional District 01, Nevada","212 S22 E63 22A","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","19","12","19","19","Less than 25 feet","1200","445000","2003","Since 2000","","51","51","0","13.1","0.4","2656","Uncontrolled","500","","","","","","Uncontrolled1","2023-05-25","2022-11-02","1","High","Fair","2022-11-02","Yes","2005-03-01","https://damsafety.org/nevada","","",""
"Fountain Lake","","","AZ00073","","AZ00073","TOWN OF FOUNTAIN HILLS","Local Government","Local Government","0","","No","Other","Other;Recreation","Arizona","","33.602219999999996","-111.70944","Arizona","Maricopa","FOUNTAIN HILLS","0","VERDE RIVER - TR","Congressional District 01, Arizona","S14, T3N, R6E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","31","31","38","38","25-50 feet","1470","113490","1970","1970-1979","","500","500","310","32","0.9","2500","Uncontrolled","200","0","0","","0","","","2021-04-02","2020-12-29","1","High","Satisfactory","2018-02-14","Yes","","https://damsafety.org/arizona","","",""
"Granite Basin","","","AZ10143","","AZ10143","USDA FS","Federal","Federal","0","","No","Recreation","Recreation;Fish and Wildlife Pond","Forest Service","030903 0901","34.6175","-112.5489","Arizona","Yavapai","","","MINT WASH","Congressional District 02, Arizona","","No","","","","","","Forest Service","Forest Service","","","Forest Service","Yes","Forest Service","Forest Service","","No","N/A","Concrete","Concrete;Gravity","","","27","27","","27","25-50 feet","438","","1939","1930-1939","2002O","90","90","90","7","5","5300","Uncontrolled","300","","","","","","","2021-05-17","2019-08-19","1","High","Not Rated","","Yes","","https://www.fs.usda.gov/eng/dams/","","",""
"Silverado Ranch Detention Basin Dam","","","NV10934","","NV10934","CLARK COUNTY PUBLIC WORKS","Local Government","Local Government","","Slater Hanifan Group","No","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-747","36.0111","-115.2001","Nevada","Clark","Las Vegas","0","","Congressional District 03, Nevada","","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Gravity","Gravity;Earth","Earth","Soil","14","9.5","14","14","Less than 25 feet","2609","32870","","Undetermined","","293.7","293.7","268.1","25.5","0","350","Uncontrolled","650","","","","","","Other Controlled1","2023-05-25","","0","High","Satisfactory","","No","","https://damsafety.org/nevada","","",""
"Mesquite Generating Station Evaporation Ponds","","","AZ00299","","AZ00299","MESQUITE POWER (A SEMPRA ENERGY DEVELOPMENT);SRP","Public Utility","Public Utility","0","","No","Other","Other","Arizona","","33.346109999999996","-112.86333","Arizona","Maricopa","NO DATA","0","CENTENNIAL WASH - OS","Congressional District 09, Arizona","S15, T1S, R6W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","16","16","19","19","Less than 25 feet","10530","0","2003","Since 2000","","1404","1404","0","120","","","None","0","0","0","","0","","","2021-04-02","2019-03-22","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Aspen (No. 6)","","","AZ00075","","AZ00075","TOWN OF FOUNTAIN HILLS","Local Government","Local Government","0","","No","Flood Risk Reduction","Flood Risk Reduction","Arizona","","33.62639","-111.74556","Arizona","Maricopa","FOUNTAIN HILLS","0","VERDE RIVER - TR","Congressional District 01, Arizona","S4, T3N, R6E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","30.3","30.3","42","42","25-50 feet","840","0","1973","1970-1979","","324","324","0","16.5","2.2600000000000002","15830","Uncontrolled","250","0","0","","0","","","2021-04-02","2020-12-08","1","High","Satisfactory","2018-02-14","Yes","","https://damsafety.org/arizona","","",""
"Hay Meadow Dam","","","NV00121","","NV00121","NEVADA DEPARTMENT OF WILDLIFE","State","State","0","","No","Fish and Wildlife Pond","Fish and Wildlife Pond;Irrigation;Recreation","Nevada","J-098","38.3297","-115.17","Nevada","Nye","HIKO","78","WHITE RIVER","Congressional District 04, Nevada","207 N05 E61 06B","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","18","14","24","24","Less than 25 feet","1893","26000","1967","1960-1969","1983S;1993S","1120","1120","1000","203","820","20000","Uncontrolled","400","","","","","","Other Controlled1","2023-05-25","2021-04-27","5","Low","Fair","2021-04-27","Not Required","","https://damsafety.org/nevada","","",""
"Rgs Pond C1 Dam ","","","NV10735","","NV10735","NV ENERGY - REID-GARDNER STATION","Public Utility","Public Utility","0","STANLEY CONSULTANTS INC","No","Other","Other","Nevada","J-616","36.65775","-114.64769","Nevada","Clark","ARROWHEAD","3","MUDDY RIVER-OS","Congressional District 04, Nevada","218 S15 E66 06DB","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Plastic","Soil","14","11","12","14","Less than 25 feet","3520","70250","1984","1980-1989","2002H;2002S","230","230","188","17","0.1","0","None","0","","","","","","None0","2023-05-25","2021-12-15","3","Low","Fair","2021-12-15","Yes","2010-10-01","https://damsafety.org/nevada","","",""
"Chuck Lenzie North Evaporation Pond Dam ","","Moapa Energy Facility North Evaporation Pond","NV10588","","NV10588","NV ENERGY","Public Utility","Public Utility","0","KLIENFELDER INC.","No","Other","Other","Nevada","J-542","36.38822","-114.921488","Nevada","Clark","NONE","0","UNNAMED WASH-TR","Congressional District 04, Nevada","215 S21 E63 15A","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Plastic","Soil","15.5","12.5","15.5","15.5","Less than 25 feet","4044","20000","","Undetermined","","56.5","56.5","47.6","3","0.1","0","None","0","","","","","","None0","2023-05-25","2019-04-23","5","Low","Fair","2019-04-23","Not Required","","https://damsafety.org/nevada","","",""
"Stoneridge (No. 19)","","","AZ00076","","AZ00076","TOWN OF FOUNTAIN HILLS","Local Government","Local Government","0","","No","Flood Risk Reduction","Flood Risk Reduction","Arizona","","33.61806","-111.73555999999999","Arizona","Maricopa","FOUNTAIN HILLS","0","COLONY WASH","Congressional District 01, Arizona","S22, T3N, R6E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","25","25","38","38","25-50 feet","370","0","1973","1970-1979","","163","163","0","11","0.7000000000000001","6950","Uncontrolled","100","0","0","","0","","","2021-04-02","2020-12-27","1","High","Satisfactory","2018-02-14","Yes","","https://damsafety.org/arizona","","",""
"Dry Hollow Reservoir","","","UT53829","","UT53829","ALTON FARMERS ASSOCIATION","Private","Private","0","","No","Irrigation","Irrigation","Utah","UT53829","37.46627249","-112.4392801","Utah","Kane","","","","Congressional District 02, Utah","32,38S~5W SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","","","27","28.400000000000002","28.400000000000002","25-50 feet","420","","","Undetermined","","51.6","51.6","43.6","","","4.2","","20","","","","","","","2021-03-17","2016-08-31","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","","",""
"Sitla - Sienna Hills","","","UT53875","","UT53875","SITLA","Private","Private","0","","No","Flood Risk Reduction","Flood Risk Reduction","Utah","UT53875","37.14371798","-113.4831472","Utah","Washington","","","GRAPEVINE CROSSING WASH","Congressional District 02, Utah","12,42S~15W SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","","","17.7","26","26","25-50 feet","330","","","Undetermined","","15.9","","15.9","","","847","","","","","","","","","2021-03-17","","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","","",""
"Fort Apache Detention Basin Dam","","","NV10604","","NV10604","CITY OF LAS VEGAS","Local Government","Local Government","0","THE LOUIS BERGER GROUP INC.","No","Flood Risk Reduction","Flood Risk Reduction;Fish and Wildlife Pond;Recreation","Nevada","J-550","36.28104","-115.29727","Nevada","Clark","LAS VEGAS","0","LAS VEGAS WASH-TR","Congressional District 04, Nevada","212 S19 E60 19DA","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Concrete","Soil","3.8000000000000003","3.8000000000000003","28.8","28.8","25-50 feet","417","100","2005","Since 2000","","76","76","0","4.5","4.8","2400","Uncontrolled","100","","","","","","Uncontrolled1","2023-05-25","2022-04-12","1","High","Fair","2022-04-12","Yes","2017-01-18","https://damsafety.org/nevada","","",""
"Aspc-Safford Effluent Pond","","","AZ00221","","AZ00221","ARIZONA DEPARTMENT OF CORRECTIONS  (ASPC)","State","State","0","","No","Irrigation","Irrigation","Arizona","","32.82528","-109.56750000000001","Arizona","Graham","SAN JOSE","2","GILA RIVER (BENNETT WASH) - TR","Congressional District 06, Arizona","S15, T7S, R27E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","Unlisted/Unknown","40","40","","40","25-50 feet","900","0","1992","1990-1999","","46","46","46","2","","","None","0","0","0","","0","","","2021-04-02","2012-03-21","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Gubler (Harris)","","","UT00128","","UT00128","ASHWORTH REVOCABLE LIVING TRUST","Private","Private","0","USDA NRCS","No","Irrigation","Irrigation","Utah","UT00128","37.51348844","-113.2141166","Utah","Iron","PINTURA","11","OFF-CHANNEL (RESERVOIR WASH)","Congressional District 02, Utah","04,38S~12W SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","Natural Resources Conservation Service","","","No","","","","No","N/A","Earth","Earth","","","","16","20","20","Less than 25 feet","550","","1960","1960-1969","","50","50","31","","0.4","","","","","","","","","","2021-05-24","2019-05-15","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","","",""
"Mccowan, Milo 99-81-22","","","UT51050","","UT51050","MILO MCCOWAN","Private","Private","0","","No","Recreation","Recreation","Utah","UT51050","37.35677339","-112.6479613","Utah","Kane","","","","Congressional District 02, Utah","04,40S~7W SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","","","12","15","15","Less than 25 feet","100","","","Undetermined","","6","","6","","","","","15","","","","","","","2021-03-17","","2","Significant","Not Rated","","No","","https://damsafety.org/utah","","",""
"H-V Reservoir","","","AZ00279","","AZ00279","BADGER CREEK CORPORATION","Private","Private","0","","No","Irrigation","Irrigation;Other","Arizona","","34.04472","-109.05472","Arizona","Apache","LYMAN STATE PARK","33","COYOTE CREEK - TR","Congressional District 02, Arizona","S34, T8N, R31E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","15.4","15.4","","15.4","Less than 25 feet","771","0","1883","Before 1900","","260","","260","50.6","","","Uncontrolled","67","0","0","","0","","","2021-04-02","2009-10-01","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"J. D. Dam","J D Dam","","AZ82405","","AZ82405","USDA FS","Federal","Federal","0","","No","Fish and Wildlife Pond","Fish and Wildlife Pond;Fire Protection, Stock, Or Small Fish Pond;Recreation","Forest Service","030701 0707","35.065200000000004","-112.02770000000001","Arizona","Coconino","COTTONWOOD","30","J D DAM WASH TR SYCAMORE CREEK","Congressional District 02, Arizona","S36,20N,R3E","No","","","","","","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","Yes","Forest Service","Forest Service","","No","N/A","Earth","Earth","Earth","Rock","21","15","","21","Less than 25 feet","120","","1915","1910-1919","","70","70","15","23","6","2475","Uncontrolled","20","","","","","","","2021-05-17","2017-08-01","10","Low","Not Rated","","Not Required","","https://www.fs.usda.gov/eng/dams/","","",""
"Speedway Detention Basin #2 Dam","","Speedway Detention Basins","NV10948","","NV10948","CITY OF NORTH LAS VEGAS","Local Government","Local Government","","","No","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-761","36.2903","-115.02380000000001","Nevada","Clark","","0","Off-Stream","Congressional District 04, Nevada","","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","","0","0","0","0","Undetermined","0","0","","Undetermined","","0","0","0","0","0","0","","0","","","","","","None","2023-05-25","2020-12-01","0","Significant","Fair","2020-12-01","Yes","","https://damsafety.org/nevada","","",""
"Mexican Tank","","","AZ00216","","AZ00216","ASHFORK CATTLE CO.;JUNIPERWOOD RANCH, INC.","Private","Private","0","","No","Fish and Wildlife Pond","Fish and Wildlife Pond;Fire Protection, Stock, Or Small Fish Pond","Arizona","","35.124719999999996","-112.51722","Arizona","Yavapai","INTERSTATE 40","8","PARTRIDGE CANYON","Congressional District 02, Arizona","S13, T20N, R3W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Unlisted/Unknown","27","","","27","25-50 feet","600","10500","1930","1930-1939","","61","","61","10","4.6000000000000005","","Uncontrolled","160","0","0","","0","","","2021-04-02","2011-08-19","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"North Las Vegas Detention Basin Dam","","","NV10420","","NV10420","CITY OF NORTH LAS VEGAS","Local Government","Local Government","0","","Yes","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-208","36.29306","-115.13167","Nevada","Clark","NORTH LAS VEGAS","0","LAS VEGAS WASH","Congressional District 04, Nevada","212 S19 E61 14","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Concrete","Soil","38","28","38","38","25-50 feet","7700","0","","Undetermined","","2430","2430","0","75","80","13200","Uncontrolled","0","","","","","","Uncontrolled1","2023-05-25","2022-04-13","1","High","Fair","2022-04-13","Yes","2020-06-30","https://damsafety.org/nevada","","",""
"Mccullough Hills Park Detention Basin Dam","Anthem Detention Basin I","South Pittman Detention Basin","NV10577","","NV10577","CITY OF HENDERSON","Local Government","Local Government","0","","No","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-533","35.983889999999995","-115.09222199999999","Nevada","Clark","HENDERSON","0","LAS VEGAS WASH-TR","Congressional District 01, Nevada","212 S23 E62 06AB","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","41","32","47.800000000000004","47.800000000000004","25-50 feet","1980","125000","2002","Since 2000","","393","393","0","20.900000000000002","7.5","37100","Uncontrolled","452","","","","","","Uncontrolled1","2023-05-25","2023-05-02","1","High","Fair","2023-05-02","Yes","2019-04-12","https://damsafety.org/nevada","","",""
"Owens Lake","","","AZ00288","","AZ00288","HERB OWENS","Private","Private","0","","No","Irrigation","Irrigation;Fire Protection, Stock, Or Small Fish Pond;Recreation","Arizona","","34.06583","-109.47222","Arizona","Apache","GREER","1","OFFSTREAM","Congressional District 02, Arizona","S27,T8N,R27E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","20.3","20.3","","20.3","Less than 25 feet","379","0","","Undetermined","","164.26","","164.26","24.3","","","None","0","0","0","","0","","","2021-04-02","2011-07-15","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Cook Reservoir","","","AZ00245","","AZ00245","EASTERN ARIZONA COLLEGE","State","State","0","","No","Water Supply","Water Supply","Arizona","","32.775279999999995","-109.72778","Arizona","Graham","SAFFORD","0.5","UNKNOWN","Congressional District 06, Arizona","S31, T7S, R26E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","18","18","","18","Less than 25 feet","450","0","1940","1940-1949","","59","59","0","17","1.34","","None","0","0","0","","0","","","2021-04-02","2021-01-14","1","High","Unsatisfactory","2017-12-13","Yes","","https://damsafety.org/arizona","","",""
"Rgs Pond G Dam ","","","NV10740","","NV10740","NV ENERGY - REID-GARDNER STATION","Public Utility","Public Utility","0","STANLEY CONSULTANTS INC","No","Other","Other","Nevada","J-621","36.65277","-114.63499","Nevada","Clark","ARROWHEAD","3","MUDDY RIVER-OS","Congressional District 04, Nevada","218 S15 E66 05CC","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Plastic","Soil","17","14","11","17","Less than 25 feet","2040","53100","2005","Since 2000","","62","62","48.7","5.5","0.1","0","None","0","","","","","","None0","2023-05-25","2021-12-15","3","Low","Fair","2021-12-15","Not Required","","https://damsafety.org/nevada","","",""
"Joshua Crosby","","","AZ00142","","AZ00142","QUARTER CIRCLE THREE LLC","Private","Private","0","USDA NRCS","No","Irrigation","Irrigation","Arizona","","36.4075","-113.24389","Arizona","Mohave","ST. GEORGE, UTAH","","LANGS WASH - OS","Congressional District 09, Arizona","S27, T35N, R9W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","Natural Resources Conservation Service","","","No","","","","No","N/A","Earth","Earth","Earth","Unlisted/Unknown","14","","","14","Less than 25 feet","365","0","1944","1940-1949","","104","104","52","13.1","0.32","","Uncontrolled","40","0","0","","0","","Uncontrolled","2021-05-24","2006-09-19","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
